Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Instituto de Educación Secundaria (IES) Ortega y Gasset,Calle Santa Fe 4,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Instituto de Educación Secundaria (IES) Pacífico,Calle Luis Mitjans 41,Conde de Casal,Plaza del Conde de Casal nº 8,2
Instituto de Educación Secundaria (IES) Palomeras - Vallecas,Calle Arboleda ,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Parque Aluche,Calle Maqueda 86,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Pedro Salinas,Calle General Marva 24,San Delfín,Calle San Delfín nº 9,17
Instituto de Educación Secundaria (IES) Pradolongo,Calle Albardin 6,San Delfín,Calle San Delfín nº 9,17
Instituto de Educación Secundaria (IES) Príncipe Felipe,Calle Finisterre 60,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Puerta Bonita,Calle Padre Amigo 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Educación Secundaria (IES) Pérez Galdós,Calle Fermin Caballero 92,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Instituto de Educación Secundaria (IES) Pío Baroja,Calle Tolosa 2,San Delfín,Calle San Delfín nº 9,17
Instituto de Educación Secundaria (IES) Ramiro de Maeztu,Calle Serrano 127,Serrano 113,Calle Serrano nº 113B,8
Instituto de Educación Secundaria (IES) Ramón y Cajal,Avenida Manoteras 55,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Instituto de Educación Secundaria (IES) Renacimiento,Calle Castellflorite 4,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Rey Pastor,Calle Corregidor Jose De Pasamonte 17,Marroquina,Calle Camino de los Vinateros nº 108,16
Instituto de Educación Secundaria (IES) Rosa Chacel,Calle Abizanda 70,Pío XII,Avenida Pío XII nº 3,17
Instituto de Educación Secundaria (IES) Salvador Dalí,Calle Verdaguer Y Garcia 2,Derechos Humanos,Calle Derechos Humanos nº 12,6
Instituto de Educación Secundaria (IES) San Blas,Calle Arcos De Jalon 120,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Plaza Pinazo 7,Embajadores 191,Calle Sodio nº 1B,11
Instituto de Educación Secundaria (IES) San Fernando,Carretera Colmenar Viejo Km.13500,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) San Isidoro de Sevilla,Plaza Marques De Comillas 1,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Instituto de Educación Secundaria (IES) San Isidro,Calle Toledo 39,Plaza de la Cebada,Plaza de la Cebada nº 16 ,20
Instituto de Educación Secundaria (IES) San Juan Bautista,Calle San Nemesio 1,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Instituto de Educación Secundaria (IES) Santa Engracia,Calle Santa Engracia 13,Santa Engracia 14,Calle Santa Engracia nº 14,15
Instituto de Educación Secundaria (IES) Santa Eugenia,Calle Cerro De Almodovar 5,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Santa Teresa de Jesús,Calle Fomento 9,San Quintín,Calle Pavía nº 6,16
Instituto de Educación Secundaria (IES) Santamarca,Calle Puerto Rico 34,Colombia,Calle Colombia nº 7,6
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Calle Via Limite 14,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Instituto de Educación Secundaria (IES) Tirso de Molina,Avenida Albufera 144,Sierra Toledana,Camino de Valderribas nº 94,19
Instituto de Educación Secundaria (IES) Valdebernardo,Bulevar Indalecio Prieto 1,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Vallecas - Magerit,Calle Antonio Folgueras 27,Concordia,Calle Arroyo del Olivar nº 6,21
Instituto de Educación Secundaria (IES) Vallecas I,Avenida Albufera 78,Concordia,Calle Arroyo del Olivar nº 6,21
Instituto de Educación Secundaria (IES) Villa de Vallecas,Calle Villarino De Los Aires 14,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Villablanca,Calle Villablanca 79,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Villaverde,Calle Alianza 20,Embajadores 191,Calle Sodio nº 1B,11
Instituto de Educación Secundaria (IES) Virgen de La Paloma,Calle Francos Rodriguez 106,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Instituto de Educación Secundaria (IES) Vista Alegre,Calle General Ricardos 177,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Estudios Bursátiles (IEB),Calle Alfonso Xi 6,Antonio Maura,Calle Antonio Maura nº 15,6
Instituto de Formación Empresarial de la Cámara Oficial de Comercio e Industria de Madrid,Calle Pedro Salinas 11,Colombia,Calle Colombia nº 7,6
Instituto de Salud Carlos III,Calle Sinesio Delgado 4,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Instituto de Salud Carlos III. Centro Nacional de Epidemiología,Avenida Monforte De Lemos 5,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Instituto de Salud Carlos III. Escuela Nacional de Medicina del Trabajo,Calle Sinesio Delgado 8,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Instituto del Cine Madrid,Calle Eduardo Benot 2,Ferraz,Calle Evaristo San Miguel nº 2,0
La Salle formación profesional Aravaca,Calle La Salle 8,Facultad Derecho,Avenida Complutense nº 23,8
Lyceum Madrid,Calle Salcedo 10,Pedro Rico,Calle Pedro Rico nº 4,0
Madrid Innovation Lab (MIL),"Calle Bravo Murillo 39 Colonia “San Cristóbal” Entrada Desde La Plaza Y Secundaria C/ Magallanes, 44",Canal,Calle José Abascal frente al nº 2,8
Metrodora Formación profesional,Calle Pedro Salinas 11,Colombia,Calle Colombia nº 7,6
"Ministerio de Educación, Formación Profesional y Deportes",Calle Alcala 34,Sevilla,Calle Alcalá nº 27,18
"Ministerio de Educación, Formación Profesional y Deportes. Atención al ciudadano temas educativos",Calle Los Madrazo 17,Marqués de Cubas,Calle del Marqués de Cubas nº 25,10
Música Estudio,Calle Jimena Menendez Pidal 11,Facultad Derecho,Avenida Complutense nº 23,8
Norte Joven Fuencarral,Calle Ribadavia 20,Remonta,Calle Azucenas nº 1,12
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI)",Calle Bravo Murillo 38,Canal,Calle José Abascal frente al nº 2,8
Real Colegio Santa Isabel - La Asunción,Calle Santa Isabel 46,Santa Isabel,Calle Atocha nº 95,17
Real Conservatorio Profesional de Danza Mariemma,Calle Padre Amigo 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Real Conservatorio Superior de Música de Madrid,Calle Doctor Mata 2,Museo Reina Sofía,Calle Santa Isabel nº 57,9
Real Escuela Superior de Arte Dramático (RESAD),Avenida Nazaret 2,Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73,8
Real Observatorio Astronómico de Madrid,Calle Alfonso Xii 3,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Residencia - Internado San Ildefonso,Calle Alfonso Vi 1,Segovia 26,Calle Segovia nº 26,8
Residencia Universitaria Augustinus Nebrija,Calle Cea Bermudez 59,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
Residencia Universitaria Erasmo,Calle Erasmo De Rotterdam 5 Y 7,Pedro Rico,Calle Pedro Rico nº 4,0
Residencia Universitaria Gómez Pardo,Calle Cristobal Bordiu 30 Bis,Santa Engracia 127,Calle Santa Engracia nº 127,10
Residencia Universitaria José Pérez de Vargas,Avenida Daroca 321,Pavones,Calle Hacienda de Pavones nº 342,16
Residencia Universitaria Nebrija - Corazonistas,Calle Tutor 36,Quintana,Calle Quintana nº 11,21
Residencia Universitaria Nebrija Chamberí,Calle Nicasio Gallego 12,Manuel Silvela,Calle Manuel Silvela nº 20,18
Residencia Universitaria Tagaste,Calle General Pardi&Amp;Ntilde;As 34 Bis,Príncipe de Vergara,Calle Hermosilla nº 70,5
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,"Carretera Colmenar Viejo  Km. 12,800",Pedro Rico,Calle Pedro Rico nº 4,0
Residencia de estudiantes Palacio de Barradas,Calle San Bernardo 63,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,20
Saint Louis University Madrid Campus,Avenida Valle 34,San Francisco de Sales,Calle General Ampudia nº 2,8
Sala de Estudio del Centro Sociocultural Clara Campoamor (Retiro),Centro Cultural Daoiz Y Velarde ,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,7
Sala de estudio Alfonso XII (Fuencarral - El Pardo),Calle Mira El Rio 4,Facultad Derecho,Avenida Complutense nº 23,8
Sala de estudio Alfredo Kraus (Fuencarral - El Pardo),Glorieta Pradera De Vaquerizas 9,Pedro Rico,Calle Pedro Rico nº 4,0
Sala de estudio Carril del Conde (Hortaleza),"Calle Carril Del Conde 57 Esquina A Calle Santa Natalia, 2",Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Sala de estudio Centro Dotacional Integrado de Arganzuela,Calle Canarias 17,Palos de la Frontera,Calle Palos de la Frontera nº 27,7
Sala de estudio Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),Calle Real De Arganda 39,Pavones,Calle Hacienda de Pavones nº 342,16
Sala de estudio Centro Sociocultural Moratalaz,Calle Fuente Carrantona 10,Pavones,Calle Hacienda de Pavones nº 342,16
Sala de estudio Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),Calle Sierra Carbonera 74,Concordia,Calle Arroyo del Olivar nº 6,21
Sala de estudio Centro cultural El Torito (Moratalaz),Avenida Moratalaz 130,Marroquina,Calle Camino de los Vinateros nº 108,16
Sala de estudio Centro cultural Lope de Vega (Puente de Vallecas),Calle Concejo De Teverga 1,Méndez Álvaro,Calle Retama nº 5,13
Sala de estudio Centro cultural Quinta del Berro - Rafael Altamira (Salamanca),Calle Enrique D'Almonte 1,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,13
Sala de estudio Ciudad Pegaso (San Blas - Canillejas),Avenida Septima 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Sala de estudio Corín Tellado  (Moncloa-Aravaca),Calle Santa Pola 22,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Sala de estudio El Madroño (Vicálvaro),Calle Villardondiego 36,Pavones,Calle Hacienda de Pavones nº 342,16
Sala de estudio Fernando Lázaro Carreter (Carabanchel),Calle Verdad 29,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Sala de estudio Fernando Vizcaíno Casas (Chamberí),Calle Blasco De Garay 38,Guzmán el Bueno,Calle Guzmán el Bueno nº 1,7
Sala de estudio Francisco José González Tejera (Hortaleza),Calle Santa Virgilia 15,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Sala de estudio José Luis López Vázquez (San Blas - Canillejas),Calle Febrero 4 Planta En La 2ª Planta Del Edificio,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Sala de estudio Julio Cortázar (Moncloa-Aravaca),Calle Antonio Machado 20,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Sala de estudio Los Rosales,Avenida Los Rosales 133,Embajadores 191,Calle Sodio nº 1B,11
Sala de estudio Luis García Berlanga (Tetuán),Calle Vi&Amp;Ntilde;A Virgen 2,Remonta,Calle Azucenas nº 1,12
Sala de estudio Luis Gonzaga (Chamartín),Calle Principe De Vergara 142,María Francisca 1,Calle María Francisca nº 1,3
Sala de estudio Marconi,Acceso Colonia Marconi 4,Glorieta de Cádiz,Calle Antonio López nº 129,18
Sala de estudio Montecarmelo (Fuencarral - El Pardo),Avenida Santuario De Valverde. 114 Carretera M-607 Km 13-L10. Acceso A Través Del Pau Montecarmelo,Pedro Rico,Calle Pedro Rico nº 4,0
Sala de estudio Motilla del Palancar (Hortaleza),Calle Motilla Del Palancar 13 Planta Local Bajo,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Sala de estudio Oporto (Carabanchel),Centro Sociocultural Oporto ,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Sala de estudio San Cristóbal,Plaza Pinazo 9,Embajadores 191,Calle Sodio nº 1B,11
Sala de estudio Sanchinarro (Hortaleza),Calle Princesa De Eboli 29,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Sala de estudio Santa Petronila,Calle Maria Martinez Oviol 12,Embajadores 191,Calle Sodio nº 1B,11
Sala de estudio Valdebernardo (Vicálvaro),Bulevar Indalecio Prieto 21,Pavones,Calle Hacienda de Pavones nº 342,16
Sala de estudio Villa del Prado de Arganzuela,Calle Villa Del Prado 27,Méndez Álvaro,Calle Méndez Álvaro nº 11,4
Sala de estudio y lectura Fuente de San Pedro - Valderrivas,Calle Titanio 5,Pavones,Calle Hacienda de Pavones nº 342,16
Sala de estudio y lectura del Centro Cultural Las Californias (Retiro),Calle Luis Peidro 2,Méndez Álvaro,Calle Retama nº 5,13
Sala de estudio Ágata,Calle Doctor Martin Arevalo 2,Glorieta de Cádiz,Calle Antonio López nº 129,18
Sala de lectura Centro sociocultural Cánovas del Castillo (Usera),Calle Julio Aguirre 10,Glorieta de Cádiz,Calle Antonio López nº 129,18
Sala de lectura Pilares (Barajas),Calle Los Pilares 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Sala de trabajo y lectura Centro Cultural Emilia Pardo Bazán,Calle Goya 1 Planta Subterráneo,Plaza de Colón,Calle Goya nº 1,10
Salas de estudio Centro Cultural Pozo del tío Raimundo (Puente de Vallecas),Avenida Glorietas 19,Concordia,Calle Arroyo del Olivar nº 6,21
Salas de estudio Centro cultural Mercado de Ibiza (Retiro),Calle Ibiza 8 Planta 1ª,Retiro-Ibiza,Calle Ibiza nº 18,10
Salas de estudio Miguel de Cervantes (San Blas - Canillejas),Calle Aliaga 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
San Román Escuela de Estudios Superiores,Calle Montesa 39,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,1
Sanromán Centro Internacional de Estudios Profesionales,Calle Ferrer Del Rio 10,Diego de león,Calle Alonso Heredia nº 1,5
Schiller International University Madrid Campus,Paseo Recoletos 35,Biblioteca Nacional,Paseo de Recoletos nº 20,15
Sección de Educación de Adultos,Paseo Chopera 41,Entrada Matadero,Paseo de la Chopera nº 14,1
Servicio de Actividades Educativas,Paseo Chopera 41,Entrada Matadero,Paseo de la Chopera nº 14,1
Servicio de Educación Infantil y otros programas,Paseo Chopera 41,Entrada Matadero,Paseo de la Chopera nº 14,1
Subdirección General de Educación y Juventud,Paseo Chopera 41,Entrada Matadero,Paseo de la Chopera nº 14,1
Suffolk University Madrid Campus,Calle Viña 3,Hospital Clínico,Calle Isaac Peral nº 44,4
Trainek formación profesional,Calle Mario Roso De Luna 29,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Unidad de Formación e Inserción Laboral (UFIL) Cid Campeador,Calle General Garcia Escamez 12,Caramuel,Calle Caramuel nº 51,5
Unidad de Formación e Inserción Laboral (UFIL) Puerta Bonita,Calle Padre Amigo 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Unidad de Formación e Inserción Laboral (UFIL) Sierra Palomeras,Calle Sierra Vieja 52,Pavones,Calle Hacienda de Pavones nº 342,16
Unidad de Formación e Inserción Laboral (UFIL) Tierruca,Calle Tierruca 13,Sierra Toledana,Camino de Valderribas nº 94,19
Unidad de Formación e Inserción Laboral (UFIL) Virgen de África,Calle Salvador Martinez,Glorieta de Cádiz,Calle Antonio López nº 129,18
Universidad Abierta de Cataluña (Universitat Oberta de Catalunya). UOC. Sede de Madrid,Calle Luchana 23 Planta 6,Manuel Silvela,Calle Manuel Silvela nº 20,18
Universidad Antonio de Nebrija. Campus de Madrid-Princesa,Calle Santa Cruz De Marcenado 27,Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24,17
Universidad Antonio de Nebrija. Edificio Joaquín María López,Calle Joaquin Maria Lopez 62,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
Universidad Autónoma de Madrid. Escuela Politécnica Superior,Calle Francisco Tomas Y Valiente 11,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Escuela Universitaria de Enfermería de la Cruz Roja,Avenida Reina Victoria 28,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Universidad Autónoma de Madrid. Escuela Universitaria de Fisioterapia de la ONCE,Calle Nuria 42,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Ciencias,Calle Francisco Tomas Y Valiente 7,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Ciencias Económicas y Empresariales,Calle Francisco Tomas Y Valiente 5,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Derecho,Calle Kelsen 1,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Filosofía y Letras,Calle Francisco Tomas Y Valiente 1,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Formación de Profesorado y Educación,Calle Francisco Tomas Y Valiente 3,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Medicina,Calle Arzobispo Morcillo 4,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad Autónoma de Madrid. Facultad de Psicología,Calle Ivan Pavlov 6,Pedro Rico,Calle Pedro Rico nº 4,0
Universidad CEU San Pablo. Campus de Moncloa,Calle Julian Romea 23,Hospital Clínico,Calle Isaac Peral nº 44,4
Universidad Camilo José Cela Campus Almagro,Calle Almagro 5,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Universidad Camilo José Cela Campus Castellana,Calle Juan Hurtado De Mendoza 4,Castellana 164,Paseo de la Castellana nº 164,14
Universidad Complutense de Madrid. Centro Complutense para la Enseñanza del Español,Plaza Menendez Pelayo ,Facultad Derecho,Avenida Complutense nº 23,8
Universidad Complutense de Madrid. Centro Superior de Idiomas Modernos,Calle Profesor Aranguren ,Facultad Derecho,Avenida Complutense nº 23,8
Universidad Complutense de Madrid. Escuela Profesional de Medicina Legal y Forense,Avenida Complutense ,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),9
Universidad Complutense de Madrid. Escuela Profesional de Relaciones Laborales,Calle San Bernardo 49,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,20
Universidad Complutense de Madrid. Facultad de Bellas Artes,Calle Pintor El Greco 2,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Universidad Complutense de Madrid. Facultad de Ciencias Biológicas,Calle Jose Antonio Novais 12,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
Universidad Complutense de Madrid. Facultad de Ciencias Físicas,Plaza Ciencias 1,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
Universidad Complutense de Madrid. Facultad de Ciencias Geológicas,Calle Jose Antonio Novais 12,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
Universidad Complutense de Madrid. Facultad de Ciencias Matemáticas,Plaza Ciencias 3,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
Universidad Complutense de Madrid. Facultad de Ciencias Químicas,Avenida Complutense ,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),9
Universidad Complutense de Madrid. Facultad de Ciencias de la Documentación,Calle Santisima Trinidad 37,Canal,Calle José Abascal frente al nº 2,8
